user_id,item_id,item_name,playtime_forever,posted_date,genres,title
Pdhelliot,212680,FTL: Faster Than Light,1740,2014-04-24,"['Indie', 'Simulation', 'Strategy']",FTL: Faster Than Light
Wesmi,212680,FTL: Faster Than Light,2568,2015-06-18,"['Indie', 'Simulation', 'Strategy']",FTL: Faster Than Light
mrsmeowkins,212680,FTL: Faster Than Light,5435,2015-07-10,"['Indie', 'Simulation', 'Strategy']",FTL: Faster Than Light
76561198092114416,212680,FTL: Faster Than Light,6604,2014-03-15,"['Indie', 'Simulation', 'Strategy']",FTL: Faster Than Light
NautaIis,212680,FTL: Faster Than Light,1068,2014-04-03,"['Indie', 'Simulation', 'Strategy']",FTL: Faster Than Light
_Harbinger_,212680,FTL: Faster Than Light,1451,2015-08-07,"['Indie', 'Simulation', 'Strategy']",FTL: Faster Than Light
crispymemesmantheyremyfavourite,212680,FTL: Faster Than Light,656,2014-04-03,"['Indie', 'Simulation', 'Strategy']",FTL: Faster Than Light
AlpacaRevolution,212680,FTL: Faster Than Light,1597,2014-10-02,"['Indie', 'Simulation', 'Strategy']",FTL: Faster Than Light
onelovemarley,212680,FTL: Faster Than Light,5873,2013-11-09,"['Indie', 'Simulation', 'Strategy']",FTL: Faster Than Light
pikachu_69,212680,FTL: Faster Than Light,3420,2014-04-04,"['Indie', 'Simulation', 'Strategy']",FTL: Faster Than Light
mario6345,212680,FTL: Faster Than Light,1507,2013-03-23,"['Indie', 'Simulation', 'Strategy']",FTL: Faster Than Light
Namesy10,212680,FTL: Faster Than Light,211,2013-12-29,"['Indie', 'Simulation', 'Strategy']",FTL: Faster Than Light
therealmorty,212680,FTL: Faster Than Light,365,2015-03-07,"['Indie', 'Simulation', 'Strategy']",FTL: Faster Than Light
Kill3rVen0m,730,Counter-Strike: Global Offensive,46058,2015-01-03,['Action'],Counter-Strike: Global Offensive
76561198066448654,730,Counter-Strike: Global Offensive,49357,2014-09-12,['Action'],Counter-Strike: Global Offensive
nazr1,730,Counter-Strike: Global Offensive,99061,2014-12-24,['Action'],Counter-Strike: Global Offensive
TheRedArrowGaming,730,Counter-Strike: Global Offensive,68019,2014-10-11,['Action'],Counter-Strike: Global Offensive
danebuchanan,730,Counter-Strike: Global Offensive,40545,2015-07-04,['Action'],Counter-Strike: Global Offensive
76561198038715881,730,Counter-Strike: Global Offensive,32583,2014-12-28,['Action'],Counter-Strike: Global Offensive
LocusTT,730,Counter-Strike: Global Offensive,38438,2015-06-29,['Action'],Counter-Strike: Global Offensive
76561198089779183,730,Counter-Strike: Global Offensive,51172,2015-10-27,['Action'],Counter-Strike: Global Offensive
markram420,730,Counter-Strike: Global Offensive,58214,2013-12-16,['Action'],Counter-Strike: Global Offensive
ifiwasasian,730,Counter-Strike: Global Offensive,32434,2015-08-20,['Action'],Counter-Strike: Global Offensive
76561198106631285,730,Counter-Strike: Global Offensive,17543,2014-06-04,['Action'],Counter-Strike: Global Offensive
76561198043956328,730,Counter-Strike: Global Offensive,35840,2014-06-21,['Action'],Counter-Strike: Global Offensive
VegetaSenpai,730,Counter-Strike: Global Offensive,11737,2015-03-04,['Action'],Counter-Strike: Global Offensive
nguyenkytrung,730,Counter-Strike: Global Offensive,192379,2014-04-10,['Action'],Counter-Strike: Global Offensive
murasamehd,730,Counter-Strike: Global Offensive,116016,2015-10-02,['Action'],Counter-Strike: Global Offensive
harshpathania,730,Counter-Strike: Global Offensive,30592,2015-07-18,['Action'],Counter-Strike: Global Offensive
mychubz,730,Counter-Strike: Global Offensive,64943,2015-12-11,['Action'],Counter-Strike: Global Offensive
76561198041858423,730,Counter-Strike: Global Offensive,3655,2015-03-14,['Action'],Counter-Strike: Global Offensive
76561198041551333,730,Counter-Strike: Global Offensive,55825,2015-02-20,['Action'],Counter-Strike: Global Offensive
kasanov,730,Counter-Strike: Global Offensive,516,2013-12-28,['Action'],Counter-Strike: Global Offensive
76561198072378985,730,Counter-Strike: Global Offensive,126346,2013-12-06,['Action'],Counter-Strike: Global Offensive
d1o5,730,Counter-Strike: Global Offensive,37515,2014-07-03,['Action'],Counter-Strike: Global Offensive
76561198050407999,730,Counter-Strike: Global Offensive,17594,2015-01-23,['Action'],Counter-Strike: Global Offensive
ShadowExtreme,730,Counter-Strike: Global Offensive,110019,2015-02-27,['Action'],Counter-Strike: Global Offensive
sireatalot,730,Counter-Strike: Global Offensive,12895,2014-04-25,['Action'],Counter-Strike: Global Offensive
76561198072335599,730,Counter-Strike: Global Offensive,14821,2015-08-15,['Action'],Counter-Strike: Global Offensive
76561198074571299,730,Counter-Strike: Global Offensive,45793,2014-11-21,['Action'],Counter-Strike: Global Offensive
dandan472,730,Counter-Strike: Global Offensive,23494,2014-11-24,['Action'],Counter-Strike: Global Offensive
dandan472,730,Counter-Strike: Global Offensive,23494,2014-11-24,['Action'],Counter-Strike: Global Offensive
dandan472,730,Counter-Strike: Global Offensive,23494,2014-11-24,['Action'],Counter-Strike: Global Offensive
dandan472,730,Counter-Strike: Global Offensive,23494,2014-11-24,['Action'],Counter-Strike: Global Offensive
