user_id,recommend,sentiment_analysis,year
76561197970982479,True,2,2011
76561197970982479,True,2,2011
76561197970982479,True,2,2011
js41637,True,2,2014
js41637,True,2,2013
js41637,True,2,2013
evcentric,True,2,2015
evcentric,True,2,2014
evcentric,True,2,2014
evcentric,True,2,2014
evcentric,True,2,2014
doctr,True,2,2013
doctr,True,2,2012
doctr,True,2,2012
doctr,True,2,2014
doctr,True,2,2012
doctr,True,2,2012
maplemage,True,2,2014
maplemage,True,2,2013
maplemage,True,2,2014
maplemage,True,2,2013
Wackky,True,2,2014
Wackky,True,2,2012
Wackky,True,2,2012
Wackky,True,2,2012
Wackky,True,2,2012
76561198089393905,True,2,2015
76561198089393905,True,2,2014
76561198077246154,True,2,2014
WeiEDKrSat,True,2,2013
thequeenpanda,True,2,2012
death-hunter,True,2,2015
death-hunter,True,2,2015
death-hunter,True,2,2014
DJKamBer,True,2,2014
DJKamBer,True,2,2013
DJKamBer,True,2,2015
DJKamBer,True,2,2013
DJKamBer,True,2,2013
DJKamBer,True,2,2012
Rainbow-Dashie,True,2,2015
Rainbow-Dashie,True,2,2014
Rainbow-Dashie,True,2,2014
76561198043472122,False,0,2014
MarbleShrine,True,2,2015
PPanther,True,2,2014
devvonst,True,2,2014
devvonst,True,2,2014
devvonst,True,2,2015
starkillershadow553,True,2,2015
starkillershadow553,True,2,2014
76561198058373434,True,2,2015
76561198048353577,True,2,2015
76561198048353577,True,2,2013
76561198066046412,False,0,2015
76561198066046412,True,2,2015
tru_mu_,True,2,2015
76561198070565427,True,2,2015
76561198070565427,True,2,2014
76561198070565427,False,0,2014
76561198070565427,True,2,2014
SavageEeEe,True,2,2015
76561198076909484,True,2,2014
KanadeTheNeko,True,2,2014
KanadeTheNeko,True,2,2014
GoAwayZach,True,2,2014
76561198054540475,True,2,2015
76561198054540475,True,2,2014
76561198054540475,True,2,2014
76561198061252210,True,2,2015
OfficialShroomsy,True,2,2013
boydeer,True,2,2014
boydeer,False,0,2015
VVillis,True,2,2015
76561198083226897,True,2,2015
76561198075277292,True,2,2015
76561198075277292,True,2,2015
76561198028895010,True,2,2013
76561198028895010,True,2,2012
diego9031,True,2,2015
diego9031,True,2,2015
diego9031,True,2,2015
diego9031,True,2,2015
diego9031,True,2,2015
diego9031,True,2,2015
diego9031,True,2,2013
diego9031,True,2,2013
jarrodtrim,True,2,2012
76561198067936203,True,2,2015
76561198079770573,True,2,2015
76561198087586464,True,2,2013
Derp-e,True,2,2015
76561198070194565,True,2,2014
76561198070194565,True,2,2015
Rivtex,True,2,2015
UTNerd24,True,2,2014
UTNerd24,True,2,2015
UTNerd24,True,2,2015
UTNerd24,True,2,2015
UTNerd24,True,2,2014
UTNerd24,True,2,2013
sandwiches1,False,0,2015
76561198138053270,True,2,2014
lucaswerg,True,2,2014
lucaswerg,True,2,2014
Life-Of-Blu,True,2,2015
Life-Of-Blu,True,2,2013
CaptianAutismo,True,2,2015
76561198075895633,True,2,2014
kube134,True,2,2014
iamthekingofbrowntown,False,0,2015
iamthekingofbrowntown,True,2,2015
iamthekingofbrowntown,True,2,2015
yookobz,True,2,2015
yookobz,True,2,2013
Posiblydead,True,2,2014
Posiblydead,True,2,2014
Posiblydead,True,2,2012
Mossy_Gaming,True,2,2015
76561198102421718,True,2,2015
76561198102421718,True,2,2015
76561198102421718,True,2,2015
76561198087407319,True,2,2014
76561198056741844,True,2,2014
sad-commie,True,2,2014
sad-commie,True,2,2014
76561198030567998,True,2,2014
76561198030567998,True,2,2015
76561198030567998,True,2,2015
76561198030567998,True,2,2015
76561198030567998,True,2,2014
Coldaniel,True,2,2015
Coldaniel,True,2,2014
Coldaniel,True,2,2015
therealmorty,True,2,2015
therealmorty,True,2,2015
Berserklejerker,True,2,2015
76561198061730629,True,2,2014
YoHuNz,True,2,2014
YoHuNz,True,2,2014
possessioniskey,True,2,2015
possessioniskey,True,2,2015
possessioniskey,True,2,2014
76561198093112529,True,2,2014
76561198060447950,True,2,2015
whiteofwolfing,True,2,2015
sergarino,True,2,2015
76561198081962345,True,2,2014
Nozomikat,True,2,2015
Nozomikat,True,2,2014
Nozomikat,True,2,2015
Nozomikat,True,2,2015
Nozomikat,True,2,2014
Nozomikat,True,2,2013
Nozomikat,True,2,2013
xfluttersx,True,2,2015
